,gid,domain,pairtype,ev_diff,L_id,L_x1,L_x2,L_x3,L_p1,L_p2,L_p3,L_ev,L_ev_var,H_id,H_x1,H_x2,H_x3,H_p1,H_p2,H_p3,H_ev,H_ev_var,prop_H_all,prop_H_all_old,prop_H_all_yng,prop_H_g1,prop_H_g1_old,prop_H_g1_yng,prop_H_g2,prop_H_g2_old,prop_H_g2_yng,ss_all,ss_all_old,ss_all_yng,ss_med_all,ss_med_old,ss_med_yng,ss_g1,ss_g1_old,ss_g1_yng,ss_g2,ss_g2_old,ss_g2_yng,sf_all,sf_all_old,sf_all_yng,sf_g1,sf_g1_old,sf_g1_yng,sf_g2,sf_g2_old,sf_g2_yng
78,S16G1,gain,HH-LL,0.709473684211,45.0,3.0,13.0,18.0,0.8,0.168421052632,0.031578947368,5.15789473684,18.882704597,41.0,1.0,23.0,18.0,0.74,0.08947368421,0.170526315789,5.86736842105,67.3562152134,0.507246376812,0.542857142857,0.470588235294,0.642857142857,0.857142857143,0.428571428571,0.472727272727,0.464285714286,0.481481481481,31.2428571429,29.5714285714,32.9142857143,22.5,17.0,24.0,19.5714285714,17.5714285714,21.5714285714,34.1607142857,32.5714285714,35.75,0.268331927417,0.317889548099,0.218774306734,0.920100732601,0.989010989011,0.85119047619,0.105389726121,0.150109187871,0.06067026437
24,S13G1,gain,HH-LL,0.815789473684,40.0,5.0,1.0,18.0,0.8,0.147368421053,0.052631578947,5.09473684211,10.8998144712,27.0,2.0,24.0,0.0,0.65,0.192105263158,0.157894736842,5.91052631579,79.5859457185,0.347826086957,0.323529411765,0.371428571429,0.571428571429,0.571428571429,0.571428571429,0.290909090909,0.259259259259,0.321428571429,27.1571428571,22.4571428571,31.8571428571,19.0,17.0,21.0,18.4285714286,13.5714285714,23.2857142857,29.3392857143,24.6785714286,34.0,0.270935934239,0.320602085985,0.221269782494,0.772636269698,0.877551020408,0.667721518987,0.145510850375,0.181364852379,0.10965684837
72,S1G1,gain,HH-LL,0.832105263158,30.0,4.0,12.0,0.0,0.5,0.263157894737,0.236842105263,5.15789473684,19.3477633478,23.0,1.0,0.0,18.0,0.41,0.28,0.31,5.99,64.8091115234,0.391304347826,0.441176470588,0.342857142857,0.384615384615,0.5,0.285714285714,0.392857142857,0.428571428571,0.357142857143,24.8285714286,23.1428571429,26.5142857143,20.0,21.0,20.0,14.9285714286,15.0,14.8571428571,27.3035714286,25.1785714286,29.4285714286,0.222494892693,0.220815992863,0.224173792523,0.849360956504,0.834776334776,0.863945578231,0.06577837674,0.067325907384,0.064230846096
14,S19G1,gain,HH-LL,0.837894736842,31.0,5.0,13.0,0.0,0.74,0.111578947368,0.148421052632,5.15052631579,10.7217068646,23.0,0.0,1.0,18.0,0.38,0.304210526316,0.315789473684,5.98842105263,67.159554731,0.318181818182,0.363636363636,0.272727272727,0.214285714286,0.285714285714,0.142857142857,0.346153846154,0.384615384615,0.307692307692,26.0857142857,23.1142857143,29.0571428571,18.0,18.0,18.0,14.3571428571,15.4285714286,13.2857142857,29.0178571429,25.0357142857,33.0,0.263528071087,0.291701280334,0.236183485641,0.932038199895,0.993197278912,0.870879120879,0.086940489891,0.102836973024,0.071632765393
32,S7G1,gain,HH-LL,0.843684210526,38.0,9.0,12.0,0.0,0.23,0.258421052632,0.511578947368,5.17105263158,29.2504638219,27.0,2.0,24.0,0.0,0.62,0.198947368421,0.181052631579,6.01473684211,79.530818388,0.457142857143,0.514285714286,0.4,0.357142857143,0.428571428571,0.285714285714,0.482142857143,0.535714285714,0.428571428571,29.9,27.5714285714,32.2285714286,23.0,25.0,22.0,16.6428571429,19.4285714286,13.8571428571,33.2142857143,29.6071428571,36.8214285714,0.237573155211,0.278408368819,0.196737941602,0.832991569834,0.994987468672,0.670995670996,0.088718551554,0.099263593856,0.078173509253
28,S17G1,gain,HH-LL,0.874736842105,25.0,2.0,12.0,0.0,0.38,0.362105263158,0.257894736842,5.10526315789,27.8499278499,34.0,6.0,23.0,0.0,0.23,0.2,0.57,5.98,79.1107070707,0.463768115942,0.485714285714,0.441176470588,0.428571428571,0.571428571429,0.285714285714,0.472727272727,0.464285714286,0.481481481481,27.0428571429,24.6571428571,29.4285714286,19.5,18.0,22.0,16.7142857143,13.7142857143,19.7142857143,29.625,27.3928571429,31.8571428571,0.283231490006,0.309617525822,0.256845454189,0.915256102441,1.0,0.830512204882,0.125225336897,0.137021907277,0.113428766516
49,S2G1,gain,HH-LL,0.902105263158,31.0,5.0,13.0,0.0,0.41,0.23,0.36,5.04,23.957979798,26.0,2.0,0.0,18.0,0.29,0.412105263158,0.297894736842,5.94210526316,62.3879612451,0.478260869565,0.382352941176,0.571428571429,0.285714285714,0.142857142857,0.428571428571,0.527272727273,0.444444444444,0.607142857143,32.3428571429,30.0285714286,34.6571428571,24.0,18.0,26.0,17.7857142857,16.1428571429,19.4285714286,35.9821428571,33.5,38.4642857143,0.265710893477,0.291284546943,0.240867915825,0.928571428571,1.0,0.857142857143,0.096982757271,0.107543503558,0.086799180495
6,S20G1,gain,HH-LL,0.907894736842,31.0,5.0,13.0,0.0,0.71,0.113157894737,0.176842105263,5.02105263158,11.5194805195,29.0,3.0,24.0,0.0,0.65,0.165789473684,0.184210526316,5.92894736842,66.0467073427,0.492063492063,0.516129032258,0.46875,0.428571428571,0.428571428571,0.428571428571,0.510204081633,0.541666666667,0.48,24.9428571429,19.2857142857,30.6,19.0,14.0,20.0,21.7857142857,14.8571428571,28.7142857143,25.7321428571,20.3928571429,31.0714285714,0.257294885931,0.25864582817,0.25602581898,0.963350340136,0.965986394558,0.960714285714,0.059599358754,0.052338162974,0.066302001012
33,S15G1,gain,HH-LL,0.921578947368,30.0,4.0,12.0,0.0,0.56,0.223157894737,0.216842105263,4.91789473684,16.9235209235,23.0,0.0,1.0,18.0,0.35,0.344736842105,0.305263157895,5.83947368421,65.5710162853,0.328571428571,0.4,0.257142857143,0.428571428571,0.428571428571,0.428571428571,0.303571428571,0.392857142857,0.214285714286,26.1857142857,23.2571428571,29.1142857143,18.5,20.0,17.0,14.4285714286,15.2857142857,13.5714285714,29.125,25.25,33.0,0.203287428673,0.227502876412,0.179071980934,0.722222222222,0.85873015873,0.585714285714,0.073553730285,0.069696055832,0.077411404739
76,S10G1,gain,HH-LL,0.925789473684,28.0,3.0,13.0,0.0,0.53,0.266315789474,0.203684210526,5.05210526316,24.2444856731,41.0,1.0,23.0,18.0,0.74,0.111578947368,0.148421052632,5.97789473684,71.8645640074,0.457142857143,0.342857142857,0.571428571429,0.642857142857,0.714285714286,0.571428571429,0.410714285714,0.25,0.571428571429,32.0857142857,27.3714285714,36.8,20.5,20.0,23.0,22.3571428571,15.1428571429,29.5714285714,34.5178571429,30.4285714286,38.6071428571,0.293810035275,0.337951486799,0.24966858375,0.881760204082,1.0,0.763520408163,0.146822493073,0.172439358499,0.121205627647
83,S3G1,gain,HH-LL,0.927368421053,28.0,3.0,13.0,0.0,0.35,0.305263157895,0.344736842105,5.01842105263,29.693877551,23.0,1.0,0.0,18.0,0.29,0.395789473684,0.314210526316,5.94578947368,67.270459699,0.528571428571,0.457142857143,0.6,0.357142857143,0.142857142857,0.571428571429,0.571428571429,0.535714285714,0.607142857143,28.1571428571,27.4571428571,28.8571428571,20.0,20.0,20.0,14.3571428571,12.1428571429,16.5714285714,31.6071428571,31.2857142857,31.9285714286,0.269946439724,0.289116557903,0.250776321544,0.926785714286,0.910714285714,0.942857142857,0.105736621083,0.13371712595,0.077756116215
44,S11G1,gain,HH-LL,0.96,37.0,8.0,11.0,0.0,0.26,0.271,0.468,5.067,24.03,26.0,2.0,0.0,18.0,0.38,0.327,0.292,6.027,60.56,0.485,0.6,0.371,0.571,0.428,0.714,0.464,0.642,0.285,27.9,25.6,30.2,18.5,18.0,20.0,17.85,19.57,16.14,30.41,27.1,33.71,0.254,0.309,0.198,0.758,1.0,0.516,0.128,0.137,0.119
77,S12G1,gain,HH-LL,0.964210526316,30.0,4.0,12.0,0.0,0.65,0.2,0.15,5.0,14.4794887652,27.0,2.0,24.0,0.0,0.62,0.196842105263,0.183157894737,5.96421052632,79.530818388,0.434782608696,0.529411764706,0.342857142857,0.642857142857,0.571428571429,0.714285714286,0.381818181818,0.518518518519,0.25,29.0285714286,27.4285714286,30.6285714286,17.0,15.0,21.0,16.2857142857,16.4285714286,16.1428571429,32.2142857143,30.1785714286,34.25,0.215682551263,0.247756695992,0.183608406533,0.798581048581,1.0,0.597162097162,0.069957926933,0.05969586999,0.080219983876
53,S6G1,gain,HH-LL,0.987894736842,31.0,5.0,13.0,0.0,0.71,0.118947368421,0.171052631579,5.09631578947,11.5194805195,23.0,0.0,1.0,18.0,0.32,0.362105263158,0.317894736842,6.08421052632,66.4897959184,0.391304347826,0.441176470588,0.342857142857,0.307692307692,0.166666666667,0.428571428571,0.410714285714,0.5,0.321428571429,24.8,23.6285714286,25.9714285714,18.0,18.0,18.0,10.4285714286,11.2857142857,9.57142857143,28.3928571429,26.7142857143,30.0714285714,0.217743561141,0.234540569114,0.200946553168,0.774582560297,0.857142857143,0.692022263451,0.078533811352,0.078889997106,0.078177625597
62,S4G1,gain,HH-LL,1.02105263158,30.0,4.0,12.0,0.0,0.68,0.1747368421,0.14526315789,4.81684210526,12.7280972995,27.0,2.0,24.0,0.0,0.62,0.19157894736,0.18842105263,5.83789473684,79.530818388,0.43478260869,0.5,0.37142857142,0.35714285714,0.42857142857,0.28571428571,0.45454545454,0.51851851851,0.39285714285,28.1285714286,24.0285714286,32.2285714286,19.5,17.0,21.0,17.8571428571,22.0,13.7142857143,30.6964285714,24.5357142857,36.8571428571,0.2775670586,0.31989067997,0.23524343722,0.93772893772,1.0,0.87545787545,0.11252658882,0.14986334997,0.07518982766
41,S14G1,gain,HH-LL,1.05684210526,43.0,4.0,2.0,18.0,0.71,0.18263157894,0.10736842105,5.13789473684,19.6198721913,26.0,2.0,0.0,18.0,0.35,0.3447368421,0.30526315789,6.19473684211,62.2593279736,0.37142857142,0.4,0.34285714285,0.57142857142,0.57142857142,0.57142857142,0.32142857142,0.35714285714,0.28571428571,29.7142857143,26.9142857143,32.5142857143,23.5,22.0,24.0,15.4285714286,15.8571428571,15.0,33.2857142857,29.6785714286,36.8928571429,0.25876304881,0.29153675999,0.22598933762,0.72738095238,0.86666666666,0.58809523809,0.14160857291,0.14775428332,0.13546286251
58,S21G1,gain,HH-LL,1.08421052632,28.0,3.0,13.0,0.0,0.44,0.27578947368,0.28421052631,4.90526315789,26.5565862709,23.0,0.0,1.0,18.0,0.2,0.4947368421,0.30526315789,5.98947368421,63.9259946403,0.49122807017,0.5,0.48275862069,0.38461538461,0.66666666666,0.14285714285,0.52272727272,0.45454545454,0.5909090909,22.9142857143,19.7428571429,26.0857142857,18.0,18.0,16.0,15.2142857143,14.2857142857,16.1428571429,24.8392857143,21.1071428571,28.5714285714,0.26730739574,0.26754263304,0.26708784094,0.94871794871,1.0,0.90476190476,0.07045545822,0.06778153296,0.07301312586
37,S8G1,gain,HH-LL,1.08842105263,37.0,8.0,11.0,0.0,0.26,0.25368421052,0.48631578947,4.87052631579,23.8014842301,29.0,3.0,24.0,0.0,0.74,0.15578947368,0.10421052631,5.95894736842,60.0463821892,0.53623188405,0.5294117647,0.54285714285,0.42857142857,0.42857142857,0.42857142857,0.56363636363,0.55555555555,0.57142857142,27.2571428571,25.0857142857,29.4285714286,21.0,17.0,24.0,17.9285714286,11.1428571429,24.7142857143,29.5892857143,28.5714285714,30.6071428571,0.22311411906,0.2557456192,0.19141494749,0.76159723361,1.0,0.52319446722,0.0860456899,0.06279077974,0.10847006755
67,S5G1,gain,HH-LL,1.13315789474,37.0,8.0,11.0,0.0,0.23,0.27789473684,0.49210526315,4.89684210526,24.5104102247,23.0,0.0,1.0,18.0,0.41,0.27,0.32,6.03,67.4916512059,0.53623188405,0.61764705882,0.45714285714,0.76923076923,1.0,0.57142857142,0.48214285714,0.53571428571,0.42857142857,29.2714285714,25.5714285714,32.9714285714,21.0,21.0,21.0,13.5714285714,11.5714285714,15.5714285714,33.1964285714,29.0714285714,37.3214285714,0.22833965036,0.26302667018,0.19365263055,0.80833333333,0.94285714285,0.67380952381,0.08334122962,0.09306905201,0.07361340723
1,S18G1,gain,HH-LL,1.15684210526,30.0,4.0,12.0,0.0,0.5,0.24736842105,0.25263157894,4.96842105263,18.882704597,41.0,1.0,23.0,18.0,0.74,0.14105263157,0.11894736842,6.12526315789,76.3265306122,0.49275362318,0.6,0.38235294117,0.42857142857,0.42857142857,0.42857142857,0.50909090909,0.64285714285,0.37037037037,25.9428571429,22.6571428571,29.2285714286,17.5,16.0,20.0,21.5714285714,14.0,29.1428571429,27.0357142857,24.8214285714,29.25,0.25669886076,0.27076159601,0.2426361255,0.96110091743,1.0,0.92220183486,0.08059834659,0.08845199502,0.07274469816
19,S9G1,gain,HH-LL,1.18210526316,33.0,6.0,12.0,0.0,0.41,0.21,0.38,4.98,20.3562152134,23.0,1.0,0.0,18.0,0.44,0.24210526315,0.31789473684,6.16210526316,65.5852401567,0.58208955223,0.66666666666,0.5,0.6923076923,1.0,0.42857142857,0.55555555555,0.59259259259,0.51851851851,25.3,25.0285714286,25.5714285714,17.5,15.0,19.0,12.5,15.0,10.0,28.5,27.5357142857,29.4642857143,0.27320990271,0.27205054256,0.27436926286,0.93568752036,0.9864544058,0.88492063492,0.10759049829,0.09344957675,0.12173141984
70,S5G2,gain,HL-LH,0.737894736842,24.0,1.0,23.0,0.0,0.62,0.198947368421,0.181052631579,5.19578947368,77.5289631004,33.0,6.0,12.0,0.0,0.53,0.229473684211,0.240526315789,5.93368421053,16.8831168831,0.68115942029,0.685714285714,0.676470588235,0.714285714286,0.714285714286,0.714285714286,0.672727272727,0.678571428571,0.666666666667,26.1714285714,25.5428571429,26.8,19.0,18.0,21.0,17.7142857143,17.5714285714,17.8571428571,28.2857142857,27.5357142857,29.0357142857,0.239871043319,0.237019313071,0.242722773567,0.866348713398,0.892857142857,0.83984028394,0.083251625798,0.073059855624,0.093443395973
47,S2G2,gain,HL-LH,0.778947368421,24.0,1.0,23.0,0.0,0.71,0.194210526316,0.095789473684,5.17684210526,76.6866625438,37.0,8.0,11.0,0.0,0.29,0.330526315789,0.379473684211,5.95578947368,23.1937744795,0.6,0.457142857143,0.742857142857,0.428571428571,0.285714285714,0.571428571429,0.642857142857,0.5,0.785714285714,24.0285714286,20.4,27.6571428571,18.0,17.0,18.0,11.7142857143,10.4285714286,13.0,27.1071428571,22.8928571429,31.3214285714,0.251547079861,0.262236599674,0.240857560048,0.926267281106,1.0,0.852534562212,0.08286702955,0.077795749592,0.087938309507
63,S4G2,gain,HL-LH,0.823157894737,27.0,2.0,24.0,0.0,0.8,0.147368421053,0.052631578947,5.13684210526,60.1937744795,37.0,8.0,11.0,0.0,0.47,0.2,0.33,5.96,18.9478787879,0.652173913043,0.676470588235,0.628571428571,0.307692307692,0.166666666667,0.428571428571,0.732142857143,0.785714285714,0.678571428571,29.9285714286,26.2857142857,33.5714285714,22.0,17.0,24.0,16.2142857143,14.0,18.4285714286,33.3571428571,29.3571428571,37.3571428571,0.269829566594,0.292894872616,0.246764260573,0.955800502019,0.974025974026,0.937575030012,0.098336832737,0.122612097263,0.074061568212
21,S9G2,gain,HL-LH,0.825789473684,23.0,1.0,0.0,18.0,0.29,0.444736842105,0.265263157895,5.06473684211,60.7955060812,28.0,3.0,13.0,0.0,0.44,0.351578947368,0.208421052632,5.89052631579,28.882704597,0.671428571429,0.6,0.742857142857,0.428571428571,0.285714285714,0.571428571429,0.732142857143,0.678571428571,0.785714285714,26.2142857143,25.8571428571,26.5714285714,18.5,17.0,19.0,16.0714285714,16.4285714286,15.7142857143,28.75,28.2142857143,29.2857142857,0.243743033314,0.249532633472,0.237953433155,0.85119047619,0.952380952381,0.75,0.091881172594,0.073820553745,0.109941791443
79,S17G2,gain,HL-LH,0.875789473684,24.0,1.0,23.0,0.0,0.74,0.185263157895,0.074736842105,5.00105263158,73.3725005154,33.0,6.0,12.0,0.0,0.47,0.254736842105,0.275263157895,5.87684210526,19.0871985158,0.811594202899,0.742857142857,0.882352941176,0.571428571429,0.428571428571,0.714285714286,0.872727272727,0.821428571429,0.925925925926,26.9428571429,22.6285714286,31.2571428571,21.0,19.0,21.0,26.2142857143,12.0,40.4285714286,27.125,25.2857142857,28.9642857143,0.263134529346,0.310643599433,0.215625459258,0.903487886383,1.0,0.806975772765,0.103046190087,0.138304499291,0.067787880881
52,S10G2,gain,HL-LH,0.883157894737,23.0,1.0,0.0,18.0,0.35,0.384210526316,0.265789473684,5.13421052632,60.2383013812,31.0,5.0,13.0,0.0,0.47,0.282105263158,0.247894736842,6.01736842105,23.2933415791,0.710144927536,0.735294117647,0.685714285714,0.642857142857,0.857142857143,0.428571428571,0.727272727273,0.703703703704,0.75,26.8,25.4571428571,28.1428571429,18.0,19.0,18.0,13.6428571429,16.1428571429,11.1428571429,30.0892857143,27.7857142857,32.3928571429,0.264560607086,0.293355647978,0.236588281647,0.807993197279,1.0,0.615986394558,0.1262323114,0.110151556713,0.14173875342
16,S19G2,gain,HL-LH,0.897894736842,26.0,2.0,0.0,18.0,0.2,0.536842105263,0.263157894737,5.13684210526,60.1764584622,33.0,6.0,12.0,0.0,0.71,0.147894736842,0.142105263158,6.03473684211,10.2857142857,0.727272727273,0.757575757576,0.69696969697,0.571428571429,0.428571428571,0.714285714286,0.769230769231,0.846153846154,0.692307692308,23.5857142857,21.5428571429,25.6285714286,17.0,16.0,20.0,14.5714285714,14.7142857143,14.4285714286,25.8392857143,23.25,28.4285714286,0.275098062319,0.322177180491,0.229403624093,0.939531368103,1.0,0.879062736206,0.099587377771,0.139686421392,0.060973483915
2,S18G2,gain,HL-LH,0.901052631579,23.0,0.0,1.0,18.0,0.5,0.226315789474,0.273684210526,5.15263157895,62.8907441765,33.0,6.0,12.0,0.0,0.59,0.209473684211,0.200526315789,6.05368421053,14.693877551,0.666666666667,0.529411764706,0.8,0.571428571429,0.428571428571,0.714285714286,0.690909090909,0.555555555556,0.821428571429,25.6714285714,25.1428571429,26.2,17.0,14.0,19.0,20.0714285714,15.2857142857,24.8571428571,27.0714285714,27.6071428571,26.5357142857,0.267939663579,0.2939778193,0.241901507858,0.981428571429,1.0,0.962857142857,0.089567436616,0.117472274125,0.061662599108
50,S6G2,gain,HL-LH,0.908421052632,24.0,1.0,23.0,0.0,0.62,0.195789473684,0.184210526316,5.12315789474,77.5289631004,33.0,6.0,12.0,0.0,0.62,0.192631578947,0.187368421053,6.03157894737,13.5881261596,0.724637681159,0.764705882353,0.685714285714,0.615384615385,0.666666666667,0.571428571429,0.75,0.785714285714,0.714285714286,23.5857142857,21.0,26.1714285714,16.0,14.0,19.0,12.7857142857,11.1428571429,14.4285714286,26.2857142857,23.4642857143,29.1071428571,0.235269197388,0.254641123736,0.215897271039,0.894957983193,1.0,0.789915966387,0.070347000936,0.068301404669,0.072392597202
59,S21G2,gain,HL-LH,0.922105263158,24.0,1.0,23.0,0.0,0.8,0.189473684211,0.010526315789,5.15789473684,72.8264275407,36.0,7.0,23.0,0.0,0.77,0.03,0.2,6.08,16.5920428778,0.80701754386,0.785714285714,0.827586206897,0.692307692308,0.833333333333,0.571428571429,0.840909090909,0.772727272727,0.909090909091,26.2142857143,27.5428571429,24.8857142857,16.5,16.0,18.0,17.5,17.7142857143,17.2857142857,28.3928571429,30.0,26.7857142857,0.279344315438,0.264548278025,0.293153950356,0.931318681319,1.0,0.872448979592,0.090996165294,0.063970535668,0.116846767545
42,S14G2,gain,HL-LH,0.992631578947,24.0,1.0,23.0,0.0,0.77,0.191052631579,0.038947368421,5.16421052632,76.1158524016,43.0,4.0,2.0,18.0,0.71,0.118947368421,0.171052631579,6.15684210526,29.6400742115,0.814285714286,0.742857142857,0.885714285714,0.714285714286,0.714285714286,0.714285714286,0.839285714286,0.75,0.928571428571,27.9857142857,26.3428571429,29.6285714286,20.0,18.0,22.0,23.7857142857,15.1428571429,32.4285714286,29.0357142857,29.1428571429,28.9285714286,0.247039312693,0.277170574168,0.216908051218,0.731702234158,0.874883286648,0.588521181669,0.125873582327,0.127742396048,0.124004768606
82,S3G2,gain,HL-LH,1.02105263158,27.0,2.0,24.0,0.0,0.71,0.14789473684,0.14210526315,4.96947368421,61.6334776335,33.0,6.0,12.0,0.0,0.59,0.20421052631,0.20578947368,5.99052631579,14.693877551,0.62857142857,0.57142857142,0.68571428571,0.64285714285,0.71428571428,0.57142857142,0.625,0.53571428571,0.71428571428,24.1285714286,22.5714285714,25.6857142857,19.5,17.0,24.0,12.5714285714,12.1428571429,13.0,27.0178571429,25.1785714286,28.8571428571,0.28080924879,0.29738795189,0.26423054569,0.94377289377,0.90952380952,0.97802197802,0.11506833754,0.14435398748,0.08578268761
74,S1G2,gain,HL-LH,1.02631578947,24.0,1.0,23.0,0.0,0.65,0.19210526315,0.15789473684,5.06842105263,77.8738691353,33.0,6.0,12.0,0.0,0.5,0.25789473684,0.24210526315,6.09473684211,17.9962894249,0.72463768115,0.73529411764,0.71428571428,0.61538461538,0.5,0.71428571428,0.75,0.78571428571,0.71428571428,27.3857142857,24.4857142857,30.2857142857,19.0,17.0,23.0,19.8571428571,11.1428571429,28.5714285714,29.2678571429,27.8214285714,30.7142857143,0.25448342143,0.27987515997,0.22909168289,0.92371167645,1.0,0.8474233529,0.08717635767,0.09984394996,0.07450876539
71,S15G2,gain,HL-LH,1.03052631579,24.0,1.0,23.0,0.0,0.62,0.18736842105,0.19263157894,4.92947368421,74.4423830138,35.0,7.0,13.0,0.0,0.74,0.06,0.2,5.96,10.7342815914,0.73529411764,0.61764705882,0.85294117647,0.6923076923,0.83333333333,0.57142857142,0.74545454545,0.57142857142,0.92592592592,26.9857142857,23.1428571429,30.8285714286,19.0,18.0,20.0,19.3571428571,11.4285714286,27.2857142857,28.8928571429,26.0714285714,31.7142857143,0.24512927231,0.28039346801,0.20986507662,0.8424573055,0.9619047619,0.7230098491,0.09579726401,0.11001564453,0.08157888349
31,S7G2,gain,HL-LH,1.03526315789,24.0,1.0,23.0,0.0,0.62,0.18947368421,0.19052631578,4.97789473684,74.4423830138,37.0,8.0,11.0,0.0,0.35,0.29210526315,0.35789473684,6.01315789474,21.6810966811,0.7,0.62857142857,0.77142857142,0.64285714285,0.57142857142,0.71428571428,0.71428571428,0.64285714285,0.78571428571,27.8428571429,26.4857142857,29.2,21.0,17.0,22.0,15.5714285714,14.7142857143,16.4285714286,30.9107142857,29.4285714286,32.3928571429,0.23695075877,0.27158189367,0.20231962386,0.85204081632,1.0,0.70408163265,0.08317824438,0.08947736709,0.07687912167
55,S13G2,gain,HL-LH,1.06210526316,27.0,2.0,24.0,0.0,0.71,0.14210526315,0.14789473684,4.83052631579,61.6334776335,31.0,5.0,13.0,0.0,0.56,0.23789473684,0.20210526315,5.89263157895,19.3951762523,0.68571428571,0.57142857142,0.8,0.64285714285,0.42857142857,0.85714285714,0.69642857142,0.60714285714,0.78571428571,28.0428571429,24.1714285714,31.9142857143,19.5,18.0,21.0,21.3571428571,14.0,28.7142857143,29.7142857143,26.7142857143,32.7142857143,0.28602947012,0.34212931486,0.22992962537,0.8286231884,0.94761904761,0.70962732919,0.15038104055,0.19075688168,0.11000519942
27,S12G2,gain,HL-LH,1.09473684211,24.0,1.0,23.0,0.0,0.68,0.18315789473,0.13684210526,4.89263157895,73.9111523397,33.0,6.0,12.0,0.0,0.56,0.21894736842,0.22105263157,5.98736842105,15.7922077922,0.73913043478,0.61764705882,0.85714285714,0.57142857142,0.28571428571,0.85714285714,0.78181818181,0.7037037037,0.85714285714,25.9,22.9428571429,28.8571428571,19.0,14.0,21.0,16.4285714286,14.8571428571,18.0,28.2678571429,24.9642857143,31.5714285714,0.23447646774,0.25570733499,0.2138521967,0.81938061938,1.0,0.63876123876,0.0855917746,0.06274256999,0.10762493618
0,S20G2,gain,HL-LH,1.14526315789,41.0,1.0,23.0,18.0,0.8,0.11578947368,0.08421052631,4.97894736842,63.1910946197,30.0,4.0,12.0,0.0,0.23,0.43368421052,0.33631578947,6.12421052632,28.8369408369,0.6129032258,0.63333333333,0.59375,0.6923076923,0.66666666666,0.71428571428,0.59183673469,0.625,0.56,24.3571428571,20.0285714286,28.6857142857,18.0,17.0,18.0,18.2857142857,16.8571428571,19.7142857143,25.875,20.8214285714,30.9285714286,0.26965949275,0.28784656005,0.25257467196,0.95714285714,0.94285714285,0.97142857142,0.07716415072,0.09680180673,0.05903708364
12,S11G2,gain,HL-LH,1.15052631579,24.0,1.0,23.0,0.0,0.62,0.18210526315,0.19789473684,4.80842105263,74.4423830138,38.0,9.0,12.0,0.0,0.38,0.21157894736,0.40842105263,5.95894736842,25.8979591837,0.74285714285,0.74285714285,0.74285714285,0.64285714285,0.85714285714,0.42857142857,0.76785714285,0.71428571428,0.82142857142,25.7571428571,24.6857142857,26.8285714286,18.5,18.0,20.0,16.0,16.2857142857,15.7142857143,28.1964285714,26.7857142857,29.6071428571,0.2355774031,0.27497484364,0.19617996257,0.77321428571,1.0,0.54642857142,0.10116818245,0.09371855455,0.10861781035
38,S8G2,gain,HL-LH,1.20736842105,24.0,1.0,23.0,0.0,0.71,0.18263157894,0.10736842105,4.91052631579,73.6427540713,35.0,7.0,13.0,0.0,0.44,0.23368421052,0.32631578947,6.11789473684,23.6866625438,0.81159420289,0.82352941176,0.8,0.85714285714,1.0,0.71428571428,0.8,0.77777777777,0.82142857142,25.8714285714,24.7142857143,27.0285714286,18.0,18.0,18.0,12.3571428571,13.0,11.7142857143,29.25,27.6428571429,30.8571428571,0.23729156853,0.29222210495,0.18393047602,0.80882609454,0.99206349206,0.62558869701,0.09181005282,0.11078174533,0.07351592077
