,subject,problem,samplesize,choice
0,1,1,8,1
1,1,2,11,1
2,1,3,12,1
3,1,4,4,0
4,1,5,7,0
5,1,6,9,1
6,1,7,16,0
7,1,8,7,0
8,1,9,8,0
9,1,10,35,1
10,1,21,4,1
11,1,22,35,1
12,1,23,37,1
13,1,24,15,0
14,1,25,9,1
15,1,26,26,0
16,1,27,8,0
17,1,28,7,1
18,1,29,17,0
19,1,30,6,1
20,1,41,13,0
21,1,42,8,1
22,1,43,20,0
23,1,44,3,1
24,1,45,7,0
25,1,46,21,0
26,1,47,3,0
27,1,48,38,0
28,1,49,8,0
29,1,50,16,0
30,2,1,8,1
31,2,2,24,1
32,2,3,5,1
33,2,4,8,0
34,2,5,26,0
35,2,6,3,1
36,2,7,15,0
37,2,8,16,1
38,2,9,17,0
39,2,10,12,1
40,2,21,6,1
41,2,22,8,0
42,2,23,5,1
43,2,24,16,1
44,2,25,7,1
45,2,26,12,0
46,2,27,16,0
47,2,28,7,0
48,2,29,16,1
49,2,30,3,1
50,2,41,20,1
51,2,42,12,1
52,2,43,26,1
53,2,44,31,1
54,2,45,15,0
55,2,46,7,1
56,2,47,7,0
57,2,48,14,0
58,2,49,15,1
59,2,50,10,1
60,3,1,10,1
61,3,2,16,1
62,3,3,20,1
63,3,4,26,1
64,3,5,44,0
65,3,6,22,1
66,3,7,19,0
67,3,8,13,1
68,3,9,12,0
69,3,10,23,1
70,3,21,16,1
71,3,22,9,1
72,3,23,14,1
73,3,24,10,0
74,3,25,17,1
75,3,26,16,1
76,3,27,10,1
77,3,28,10,0
78,3,29,20,0
79,3,30,16,1
80,3,41,11,0
81,3,42,15,1
82,3,43,21,1
83,3,44,20,0
84,3,45,15,0
85,3,46,15,0
86,3,47,13,1
87,3,48,20,0
88,3,49,14,0
89,3,50,19,1
90,4,1,26,0
91,4,2,7,1
92,4,3,11,1
93,4,4,6,0
94,4,5,16,0
95,4,6,12,1
96,4,7,29,0
97,4,8,24,1
98,4,9,21,0
99,4,10,14,0
100,4,21,9,1
101,4,22,11,1
102,4,23,22,1
103,4,24,15,0
104,4,25,19,1
105,4,26,6,1
106,4,27,33,1
107,4,28,12,0
108,4,29,22,0
109,4,30,11,1
110,4,41,22,1
111,4,42,14,1
112,4,43,23,1
113,4,44,33,1
114,4,45,12,0
115,4,46,33,1
116,4,47,15,1
117,4,48,13,1
118,4,49,11,1
119,4,50,16,0
120,5,1,27,1
121,5,2,11,1
122,5,3,27,1
123,5,4,17,0
124,5,5,22,0
125,5,6,25,1
126,5,7,30,1
127,5,8,20,0
128,5,9,18,0
129,5,10,23,1
130,5,21,15,1
131,5,22,15,1
132,5,23,31,1
133,5,24,31,0
134,5,25,16,1
135,5,26,25,0
136,5,27,22,1
137,5,28,21,0
138,5,29,25,1
139,5,30,12,1
140,5,41,10,0
141,5,42,13,1
142,5,43,18,1
143,5,44,12,0
144,5,45,35,1
145,5,46,26,0
146,5,47,22,1
147,5,48,28,1
148,5,49,24,0
149,5,50,21,0
150,6,1,16,0
151,6,2,8,1
152,6,3,7,1
153,6,4,7,0
154,6,5,6,0
155,6,6,10,1
156,6,7,7,0
157,6,8,6,1
158,6,9,8,0
159,6,10,12,0
160,6,21,5,1
161,6,22,6,1
162,6,23,8,1
163,6,24,4,1
164,6,25,7,1
165,6,26,7,0
166,6,27,4,1
167,6,28,9,0
168,6,29,6,0
169,6,30,5,1
170,6,41,8,0
171,6,42,7,1
172,6,43,5,0
173,6,44,8,0
174,6,45,5,0
175,6,46,5,0
176,6,47,5,1
177,6,48,14,1
178,6,49,6,0
179,6,50,8,0
180,7,1,20,0
181,7,2,34,0
182,7,3,39,1
183,7,4,47,0
184,7,5,11,1
185,7,6,43,0
186,7,7,18,0
187,7,8,22,0
188,7,9,22,0
189,7,10,41,0
190,7,21,10,1
191,7,22,25,1
192,7,23,28,1
193,7,24,17,1
194,7,25,24,1
195,7,26,16,1
196,7,27,43,1
197,7,28,9,1
198,7,29,25,1
199,7,30,36,0
200,7,41,12,1
201,7,42,12,1
202,7,43,22,1
203,7,44,13,1
204,7,45,17,1
205,7,46,19,1
206,7,47,40,0
207,7,48,16,1
208,7,49,17,1
209,7,50,24,1
210,8,1,22,0
211,8,2,16,1
212,8,3,23,1
213,8,4,19,0
214,8,5,18,1
215,8,6,15,1
216,8,7,26,1
217,8,8,20,1
218,8,9,31,1
219,8,10,27,0
220,8,21,8,1
221,8,22,35,0
222,8,23,22,0
223,8,24,35,1
224,8,25,17,0
225,8,26,10,0
226,8,27,29,0
227,8,28,24,0
228,8,29,17,1
229,8,30,29,1
230,8,41,35,0
231,8,42,28,1
232,8,43,11,0
233,8,44,10,1
234,8,45,30,1
235,8,46,16,0
236,8,47,19,0
237,8,48,13,1
238,8,49,18,1
239,8,50,34,0
240,9,1,20,1
241,9,2,14,1
242,9,3,21,1
243,9,4,40,0
244,9,5,22,0
245,9,6,11,1
246,9,7,20,0
247,9,8,16,1
248,9,9,15,0
249,9,10,40,1
250,9,21,14,1
251,9,22,16,1
252,9,23,22,1
253,9,24,25,0
254,9,25,26,1
255,9,26,18,0
256,9,27,15,1
257,9,28,25,1
258,9,29,18,0
259,9,30,30,1
260,9,41,27,1
261,9,42,22,1
262,9,43,38,1
263,9,44,18,1
264,9,45,18,0
265,9,46,29,0
266,9,47,20,1
267,9,48,20,0
268,9,49,17,0
269,9,50,14,0
270,10,1,12,1
271,10,2,6,1
272,10,3,6,1
273,10,4,11,0
274,10,5,10,0
275,10,6,2,1
276,10,7,9,1
277,10,8,4,1
278,10,9,4,0
279,10,10,4,1
280,10,21,8,1
281,10,22,5,1
282,10,23,6,1
283,10,24,6,0
284,10,25,10,1
285,10,26,16,0
286,10,27,7,1
287,10,28,6,0
288,10,29,7,1
289,10,30,12,1
290,10,41,9,0
291,10,42,32,1
292,10,43,5,1
293,10,44,6,0
294,10,45,6,0
295,10,46,7,0
296,10,47,6,0
297,10,48,7,0
298,10,49,8,1
299,10,50,4,0
300,11,1,18,0
301,11,2,13,0
302,11,3,8,0
303,11,4,17,0
304,11,5,21,0
305,11,6,16,0
306,11,7,14,1
307,11,8,8,0
308,11,9,5,1
309,11,10,15,0
310,11,21,16,1
311,11,22,16,1
312,11,23,58,1
313,11,24,8,0
314,11,25,11,0
315,11,26,26,0
316,11,27,7,1
317,11,28,10,1
318,11,29,5,1
319,11,30,10,0
320,11,41,20,1
321,11,42,10,1
322,11,43,12,1
323,11,44,10,1
324,11,45,8,0
325,11,46,14,0
326,11,47,15,1
327,11,48,15,1
328,11,49,15,1
329,11,50,13,0
330,12,1,7,1
331,12,2,7,1
332,12,3,5,1
333,12,4,2,1
334,12,5,7,0
335,12,6,5,0
336,12,7,5,0
337,12,8,5,0
338,12,9,9,0
339,12,10,6,0
340,12,21,6,0
341,12,22,6,0
342,12,23,5,0
343,12,24,9,1
344,12,25,4,1
345,12,26,9,0
346,12,27,6,1
347,12,28,6,0
348,12,29,7,1
349,12,30,5,1
350,12,41,5,1
351,12,42,8,1
352,12,43,6,1
353,12,44,7,0
354,12,45,6,0
355,12,46,6,1
356,12,47,7,1
357,12,48,6,0
358,12,49,6,0
359,12,50,10,0
360,13,1,11,0
361,13,2,7,1
362,13,3,5,1
363,13,4,11,0
364,13,5,7,1
365,13,6,26,0
366,13,7,8,1
367,13,8,84,0
368,13,9,6,0
369,13,10,10,1
370,13,21,15,1
371,13,22,11,1
372,13,23,6,1
373,13,24,5,0
374,13,25,8,1
375,13,26,11,0
376,13,27,6,1
377,13,28,8,0
378,13,29,5,0
379,13,30,8,1
380,13,41,7,0
381,13,42,6,0
382,13,43,18,1
383,13,44,7,0
384,13,45,9,0
385,13,46,6,0
386,13,47,34,0
387,13,48,8,0
388,13,49,5,1
389,13,50,7,0
390,14,1,18,0
391,14,2,20,1
392,14,3,11,0
393,14,4,19,0
394,14,5,20,0
395,14,6,20,0
396,14,7,25,0
397,14,8,20,0
398,14,9,20,1
399,14,10,17,1
400,14,21,20,1
401,14,22,18,1
402,14,23,13,0
403,14,24,11,0
404,14,25,20,1
405,14,26,20,0
406,14,27,16,0
407,14,28,20,1
408,14,29,20,1
409,14,30,19,0
410,14,41,21,1
411,14,42,11,1
412,14,43,12,1
413,14,44,20,1
414,14,45,20,1
415,14,46,21,0
416,14,47,20,1
417,14,48,11,1
418,14,49,20,1
419,14,50,20,0
420,15,1,12,1
421,15,2,15,1
422,15,3,11,1
423,15,4,13,0
424,15,5,12,1
425,15,6,27,1
426,15,7,25,1
427,15,8,20,1
428,15,9,22,1
429,15,10,9,0
430,15,21,7,1
431,15,22,29,1
432,15,23,10,0
433,15,24,21,1
434,15,25,26,0
435,15,26,20,0
436,15,27,17,1
437,15,28,21,0
438,15,29,10,1
439,15,30,11,1
440,15,41,9,0
441,15,42,13,1
442,15,43,21,1
443,15,44,15,0
444,15,45,26,0
445,15,46,22,0
446,15,47,18,1
447,15,48,8,1
448,15,49,32,1
449,15,50,13,0
450,16,1,4,1
451,16,2,2,1
452,16,3,20,1
453,16,4,5,1
454,16,5,11,1
455,16,6,5,1
456,16,7,24,0
457,16,8,5,1
458,16,9,4,0
459,16,10,5,0
460,16,21,4,1
461,16,22,5,1
462,16,23,15,1
463,16,24,6,0
464,16,25,19,0
465,16,26,2,0
466,16,27,2,0
467,16,28,16,0
468,16,29,2,1
469,16,30,4,0
470,16,41,2,0
471,16,42,2,1
472,16,43,2,0
473,16,44,8,0
474,16,45,6,0
475,16,46,2,0
476,16,47,2,1
477,16,48,4,0
478,16,49,3,1
479,16,50,16,1
480,17,1,12,1
481,17,2,21,1
482,17,3,22,1
483,17,4,16,0
484,17,5,3,0
485,17,6,16,1
486,17,7,31,1
487,17,8,4,0
488,17,9,4,0
489,17,10,18,0
490,17,21,17,1
491,17,22,10,1
492,17,23,3,1
493,17,24,10,0
494,17,25,20,0
495,17,26,4,0
496,17,27,3,0
497,17,28,15,0
498,17,29,29,1
499,17,30,4,0
500,17,41,3,0
501,17,42,4,1
502,17,43,6,0
503,17,44,4,0
504,17,45,21,0
505,17,46,22,0
506,17,47,3,1
507,17,48,2,0
508,17,49,2,0
509,17,50,27,1
510,18,1,9,0
511,18,2,12,1
512,18,3,13,1
513,18,4,3,1
514,18,5,15,0
515,18,6,6,0
516,18,7,6,1
517,18,8,8,0
518,18,9,55,1
519,18,10,8,1
520,18,21,11,0
521,18,22,17,1
522,18,23,9,1
523,18,24,13,0
524,18,25,6,1
525,18,26,22,1
526,18,27,5,0
527,18,28,7,1
528,18,29,5,1
529,18,30,16,1
530,18,41,25,0
531,18,42,7,1
532,18,43,9,1
533,18,44,5,1
534,18,45,6,1
535,18,46,7,0
536,18,47,10,0
537,18,48,6,1
538,18,49,5,1
539,18,50,11,1
540,19,1,63,0
541,19,2,67,0
542,19,3,41,1
543,19,4,43,0
544,19,5,29,0
545,19,6,19,0
546,19,7,87,1
547,19,8,13,1
548,19,9,27,0
549,19,10,22,1
550,19,21,23,1
551,19,22,18,1
552,19,23,43,1
553,19,24,22,1
554,19,25,19,1
555,19,26,85,1
556,19,27,14,0
557,19,28,23,0
558,19,29,44,1
559,19,30,123,0
560,19,41,10,0
561,19,42,14,1
562,19,43,10,1
563,19,44,5,0
564,19,45,31,0
565,19,46,26,1
566,19,47,3,1
567,19,48,35,1
568,19,49,4,0
569,19,50,24,0
570,20,1,4,1
571,20,2,2,1
572,20,3,5,1
573,20,4,4,0
574,20,5,4,0
575,20,6,3,1
576,20,7,5,0
577,20,8,2,1
578,20,9,2,0
579,20,10,2,0
580,20,21,2,1
581,20,22,2,1
582,20,23,4,1
583,20,24,2,0
584,20,25,5,1
585,20,26,2,0
586,20,27,2,0
587,20,28,3,1
588,20,29,2,1
589,20,30,2,1
590,20,41,5,0
591,20,42,2,1
592,20,43,2,1
593,20,44,2,0
594,20,45,3,0
595,20,46,2,1
596,20,47,2,1
597,20,48,2,0
598,20,49,2,0
599,20,50,2,0
600,21,11,13,0
601,21,12,28,0
602,21,13,4,1
603,21,14,6,0
604,21,15,17,1
605,21,16,53,0
606,21,17,23,1
607,21,18,17,0
608,21,19,6,1
609,21,20,33,1
610,21,31,9,1
611,21,32,5,0
612,21,33,27,1
613,21,34,18,0
614,21,35,20,0
615,21,36,34,0
616,21,37,30,0
617,21,38,28,0
618,21,39,5,1
619,21,40,34,0
620,21,51,30,1
621,21,52,17,1
622,21,53,9,1
623,21,54,13,1
624,21,55,7,0
625,21,56,31,0
626,21,57,26,1
627,21,58,8,1
628,21,59,11,0
629,21,60,60,0
630,22,11,6,1
631,22,12,6,1
632,22,13,7,0
633,22,14,8,1
634,22,15,6,1
635,22,16,6,0
636,22,17,6,1
637,22,18,5,1
638,22,19,6,0
639,22,20,5,0
640,22,31,5,1
641,22,32,7,1
642,22,33,8,1
643,22,34,6,1
644,22,35,6,1
645,22,36,5,1
646,22,37,9,0
647,22,38,4,1
648,22,39,9,0
649,22,40,6,0
650,22,51,6,0
651,22,52,7,0
652,22,53,6,0
653,22,54,6,1
654,22,55,8,0
655,22,56,6,1
656,22,57,6,1
657,22,58,7,1
658,22,59,7,0
659,22,60,8,1
660,23,11,10,0
661,23,12,6,1
662,23,13,7,0
663,23,14,7,1
664,23,15,8,1
665,23,16,6,0
666,23,17,7,0
667,23,18,8,1
668,23,19,5,1
669,23,20,6,0
670,23,31,11,1
671,23,32,7,0
672,23,33,7,0
673,23,34,8,1
674,23,35,6,1
675,23,36,9,0
676,23,37,5,1
677,23,38,6,1
678,23,39,6,0
679,23,40,6,1
680,23,51,5,0
681,23,52,6,0
682,23,53,5,0
683,23,54,7,1
684,23,55,6,1
685,23,56,6,1
686,23,57,6,1
687,23,58,6,1
688,23,59,7,0
689,23,60,7,1
690,24,11,2,1
691,24,12,2,0
692,24,13,2,0
693,24,14,2,0
694,24,15,2,0
695,24,16,2,0
696,24,17,2,1
697,24,18,3,0
698,24,19,2,1
699,24,20,2,1
700,24,31,2,1
701,24,32,2,0
702,24,33,2,1
703,24,34,2,0
704,24,35,2,0
705,24,36,2,1
706,24,37,2,1
707,24,38,2,0
708,24,39,2,0
709,24,40,2,0
710,24,51,2,0
711,24,52,2,0
712,24,53,2,1
713,24,54,2,1
714,24,55,3,1
715,24,56,2,0
716,24,57,2,1
717,24,58,2,1
718,24,59,2,0
719,24,60,2,1
720,25,11,49,1
721,25,12,20,1
722,25,13,29,0
723,25,14,3,1
724,25,15,4,1
725,25,16,18,1
726,25,17,6,0
727,25,18,16,0
728,25,19,4,0
729,25,20,16,0
730,25,31,3,0
731,25,32,8,0
732,25,33,4,0
733,25,34,2,0
734,25,35,7,0
735,25,36,34,1
736,25,37,2,1
737,25,38,3,0
738,25,39,8,1
739,25,40,4,0
740,25,51,24,0
741,25,52,12,1
742,25,53,25,1
743,25,54,21,1
744,25,55,2,1
745,25,56,22,1
746,25,57,14,0
747,25,58,10,1
748,25,59,14,0
749,25,60,2,0
750,26,11,19,0
751,26,12,53,1
752,26,13,18,1
753,26,14,11,1
754,26,15,69,1
755,26,16,9,1
756,26,17,43,1
757,26,18,30,0
758,26,19,44,1
759,26,20,37,1
760,26,31,30,1
761,26,32,23,1
762,26,33,23,1
763,26,34,42,0
764,26,35,30,1
765,26,36,63,1
766,26,37,19,0
767,26,38,50,1
768,26,39,17,1
769,26,40,37,1
770,26,51,65,1
771,26,52,20,1
772,26,53,42,1
773,26,54,9,1
774,26,55,19,0
775,26,56,71,1
776,26,57,24,1
777,26,58,16,1
778,26,59,14,1
779,26,60,6,1
780,27,11,6,1
781,27,12,10,0
782,27,13,21,1
783,27,14,9,1
784,27,15,9,1
785,27,16,37,1
786,27,17,9,0
787,27,18,13,1
788,27,19,16,1
789,27,20,21,1
790,27,31,12,1
791,27,32,33,0
792,27,33,13,0
793,27,34,24,1
794,27,35,15,1
795,27,36,7,1
796,27,37,9,0
797,27,38,15,1
798,27,39,18,1
799,27,40,12,0
800,27,51,9,1
801,27,52,10,0
802,27,53,10,1
803,27,54,11,1
804,27,55,8,0
805,27,56,6,0
806,27,57,13,0
807,27,58,9,1
808,27,59,9,0
809,27,60,7,1
810,28,11,28,1
811,28,12,5,1
812,28,13,11,0
813,28,14,12,1
814,28,15,16,1
815,28,16,7,1
816,28,17,25,1
817,28,18,11,1
818,28,19,29,0
819,28,20,13,0
820,28,31,30,1
821,28,32,9,1
822,28,33,21,0
823,28,34,11,1
824,28,35,21,0
825,28,36,14,0
826,28,37,8,1
827,28,38,10,1
828,28,39,23,0
829,28,40,11,1
830,28,51,9,0
831,28,52,5,1
832,28,53,24,0
833,28,54,16,0
834,28,55,12,1
835,28,56,9,1
836,28,57,10,0
837,28,58,15,1
838,28,59,21,1
839,28,60,39,0
840,29,11,7,1
841,29,12,6,0
842,29,13,5,1
843,29,14,10,1
844,29,15,13,1
845,29,16,5,1
846,29,17,11,1
847,29,18,5,0
848,29,19,10,0
849,29,20,8,0
850,29,31,7,1
851,29,32,13,1
852,29,33,13,1
853,29,34,12,1
854,29,35,12,1
855,29,36,8,0
856,29,37,6,1
857,29,38,9,1
858,29,39,7,0
859,29,40,8,0
860,29,51,8,0
861,29,52,10,0
862,29,53,4,1
863,29,54,7,0
864,29,55,11,1
865,29,56,8,1
866,29,57,7,0
867,29,58,8,1
868,29,59,4,0
869,29,60,9,0
870,30,11,15,1
871,30,12,17,0
872,30,13,7,1
873,30,14,34,1
874,30,15,31,1
875,30,16,10,1
876,30,17,23,1
877,30,18,7,0
878,30,19,30,1
879,30,20,13,1
880,30,31,23,1
881,30,32,14,1
882,30,33,35,0
883,30,34,23,1
884,30,35,11,1
885,30,36,8,1
886,30,37,24,1
887,30,38,18,1
888,30,39,10,1
889,30,40,21,0
890,30,51,22,0
891,30,52,21,0
892,30,53,9,1
893,30,54,14,1
894,30,55,13,0
895,30,56,49,1
896,30,57,36,0
897,30,58,33,0
898,30,59,24,0
899,30,60,20,1
900,31,11,19,1
901,31,12,10,1
902,31,13,8,1
903,31,14,8,1
904,31,15,16,1
905,31,16,8,1
906,31,17,13,1
907,31,18,29,1
908,31,19,26,1
909,31,20,28,1
910,31,31,16,1
911,31,32,3,1
912,31,33,14,0
913,31,34,8,0
914,31,35,5,1
915,31,36,7,0
916,31,37,4,1
917,31,38,21,1
918,31,39,5,1
919,31,40,19,1
920,31,51,6,1
921,31,52,7,1
922,31,53,6,0
923,31,54,13,1
924,31,55,11,1
925,31,56,6,1
926,31,57,14,1
927,31,58,4,1
928,31,59,4,0
929,31,60,5,1
930,32,11,8,0
931,32,12,2,1
932,32,13,2,0
933,32,14,2,1
934,32,15,34,1
935,32,16,2,0
936,32,17,4,0
937,32,18,2,1
938,32,19,2,0
939,32,20,2,0
940,32,31,4,1
941,32,32,2,1
942,32,33,2,0
943,32,34,2,1
944,32,35,2,1
945,32,36,2,0
946,32,37,2,0
947,32,38,2,1
948,32,39,2,0
949,32,40,4,1
950,32,51,2,0
951,32,52,2,1
952,32,53,2,0
953,32,54,2,1
954,32,55,2,1
955,32,56,2,1
956,32,57,7,1
957,32,58,2,1
958,32,59,3,0
959,32,60,2,0
960,33,11,20,1
961,33,12,12,0
962,33,13,11,0
963,33,14,15,1
964,33,15,16,1
965,33,16,16,0
966,33,17,24,1
967,33,18,11,1
968,33,19,16,0
969,33,20,66,1
970,33,31,9,1
971,33,32,133,0
972,33,33,45,0
973,33,34,17,0
974,33,35,9,0
975,33,36,25,1
976,33,37,12,1
977,33,38,10,1
978,33,39,11,1
979,33,40,34,1
980,33,51,91,1
981,33,52,3,0
982,33,53,5,0
983,33,54,8,1
984,33,55,2,0
985,33,56,11,1
986,33,57,21,1
987,33,58,9,0
988,33,59,28,1
989,33,60,6,0
990,34,11,50,1
991,34,12,49,0
992,34,13,42,1
993,34,14,39,0
994,34,15,55,1
995,34,16,28,1
996,34,17,21,0
997,34,18,51,0
998,34,19,74,1
999,34,20,10,1
1000,34,31,45,1
1001,34,32,46,1
1002,34,33,54,0
1003,34,34,27,0
1004,34,35,50,0
1005,34,36,46,0
1006,34,37,54,1
1007,34,38,56,1
1008,34,39,21,1
1009,34,40,21,1
1010,34,51,36,0
1011,34,52,27,1
1012,34,53,19,1
1013,34,54,25,1
1014,34,55,40,1
1015,34,56,45,0
1016,34,57,57,0
1017,34,58,18,1
1018,34,59,40,0
1019,34,60,16,1
1020,35,11,35,0
1021,35,12,48,1
1022,35,13,14,1
1023,35,14,27,1
1024,35,15,6,1
1025,35,16,17,1
1026,35,17,18,1
1027,35,18,43,0
1028,35,19,6,1
1029,35,20,4,0
1030,35,31,13,1
1031,35,32,26,1
1032,35,33,10,0
1033,35,34,34,0
1034,35,35,48,1
1035,35,36,29,1
1036,35,37,11,1
1037,35,38,10,0
1038,35,39,8,1
1039,35,40,6,1
1040,35,51,4,0
1041,35,52,4,1
1042,35,53,7,0
1043,35,54,8,0
1044,35,55,20,1
1045,35,56,28,1
1046,35,57,14,1
1047,35,58,8,1
1048,35,59,77,1
1049,35,60,17,1
1050,36,11,19,0
1051,36,12,11,0
1052,36,13,5,0
1053,36,14,6,1
1054,36,15,9,0
1055,36,16,5,1
1056,36,17,8,0
1057,36,18,33,1
1058,36,19,11,1
1059,36,20,18,1
1060,36,31,28,1
1061,36,32,20,1
1062,36,33,7,1
1063,36,34,32,0
1064,36,35,3,0
1065,36,36,17,1
1066,36,37,34,1
1067,36,38,22,0
1068,36,39,17,1
1069,36,40,10,0
1070,36,51,11,0
1071,36,52,7,1
1072,36,53,11,1
1073,36,54,8,1
1074,36,55,9,0
1075,36,56,5,0
1076,36,57,8,0
1077,36,58,4,1
1078,36,59,6,0
1079,36,60,10,1
1080,37,11,14,1
1081,37,12,10,1
1082,37,13,11,0
1083,37,14,7,1
1084,37,15,12,1
1085,37,16,8,1
1086,37,17,8,0
1087,37,18,6,0
1088,37,19,10,0
1089,37,20,7,1
1090,37,31,9,1
1091,37,32,12,1
1092,37,33,9,0
1093,37,34,9,1
1094,37,35,9,1
1095,37,36,7,1
1096,37,37,24,0
1097,37,38,5,1
1098,37,39,8,1
1099,37,40,10,1
1100,37,51,11,0
1101,37,52,9,1
1102,37,53,8,1
1103,37,54,10,1
1104,37,55,8,0
1105,37,56,12,1
1106,37,57,7,1
1107,37,58,11,0
1108,37,59,6,0
1109,37,60,6,1
1110,38,11,15,0
1111,38,12,21,1
1112,38,13,10,1
1113,38,14,13,1
1114,38,15,22,1
1115,38,16,30,1
1116,38,17,12,1
1117,38,18,16,1
1118,38,19,8,1
1119,38,20,11,1
1120,38,31,22,1
1121,38,32,13,1
1122,38,33,16,0
1123,38,34,11,0
1124,38,35,12,1
1125,38,36,8,1
1126,38,37,26,1
1127,38,38,10,1
1128,38,39,24,1
1129,38,40,8,0
1130,38,51,25,0
1131,38,52,12,1
1132,38,53,18,0
1133,38,54,12,1
1134,38,55,16,1
1135,38,56,16,1
1136,38,57,26,1
1137,38,58,22,0
1138,38,59,13,0
1139,38,60,8,1
1140,39,11,3,1
1141,39,12,6,1
1142,39,13,10,0
1143,39,14,3,1
1144,39,15,13,1
1145,39,16,2,1
1146,39,17,14,1
1147,39,18,8,1
1148,39,19,8,0
1149,39,20,3,0
1150,39,31,8,1
1151,39,32,6,1
1152,39,33,2,0
1153,39,34,16,1
1154,39,35,15,0
1155,39,36,6,1
1156,39,37,4,1
1157,39,38,4,1
1158,39,39,5,0
1159,39,40,7,1
1160,39,51,2,0
1161,39,52,10,1
1162,39,53,6,1
1163,39,54,5,1
1164,39,55,4,1
1165,39,56,7,1
1166,39,57,4,1
1167,39,58,2,1
1168,39,59,8,1
1169,39,60,6,1
1170,40,11,9,1
1171,40,12,15,1
1172,40,13,13,0
1173,40,14,19,1
1174,40,15,6,1
1175,40,16,45,1
1176,40,17,17,1
1177,40,18,16,1
1178,40,19,12,1
1179,40,20,16,1
1180,40,31,10,1
1181,40,32,12,1
1182,40,33,7,1
1183,40,34,13,1
1184,40,35,11,1
1185,40,36,32,1
1186,40,37,21,0
1187,40,38,20,1
1188,40,39,14,1
1189,40,40,8,0
1190,40,51,7,0
1191,40,52,19,1
1192,40,53,14,1
1193,40,54,14,1
1194,40,55,10,1
1195,40,56,13,1
1196,40,57,10,1
1197,40,58,33,1
1198,40,59,10,0
1199,40,60,16,1
